USER_ID,TEST_AGE,CERT_GROUP,TEST_SEX,ITEM_F001,ITEM_F002,ITEM_F018,AGE_GROUP,BMI_GROUP,G_ID,Recommend_pre_ex,Recommend_main_ex,Recommend_finish_ex,Additional_pre_ex,Additional_main_ex,Additional_finish_ex
11,20,하,F,163.0,52.64,19.8,20대,정상체중,83,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 사다리 옆으로 발 옮기기,  걷기, 달리기,  달리기"," 엎드려 버티기,  사다리 옆으로 발 옮기기,  계단 뛰기,  달리기"
12,25,하,M,169.2,67.6,23.6,20대,비만전단계,86,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 걷기,  계단 뛰기,  줄넘기,  버피운동"," 줄넘기,  계단 올라갔다 내려오기,  걷기, 달리기"
13,40,하,F,156.5,51.36,21.0,40대,정상체중,155,걷기,달리기,전신 루틴 스트레칭,없음," 버피운동,  무릎 높여 제자리 달리기,  사다리 안팎 뛰기,  걷기"," 사다리 안팎 뛰기,  사다리 옆으로 발 옮기기,  줄넘기,  버피운동"
14,23,하,M,161.0,76.3,29.4,20대,1단계비만,92,걷기,달리기,전신 루틴 스트레칭,없음," 걷기,  무릎 높여 제자리 달리기,  스텝퍼 뛰어서 오르내리기,  줄넘기"," 계단 올라갔다 내려오기,  줄넘기,  걷기,  스텝퍼 뛰어서 오르내리기"
15,20,하,F,159.0,56.4,22.3,20대,정상체중,83,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 달리기,  계단 뛰기,  엎드려 버티기,  수영"," 달리기, 달리기,  엎드려 버티기,  걷기"
16,20,하,M,168.3,89.5,31.6,20대,2단계비만,98,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 스텝퍼 오르내리기,  계단 올라갔다 내려오기, 달리기,  계단 뛰기","달리기,  걷기,  계단 뛰기,  계단 올라갔다 내려오기"
17,28,하,F,162.5,52.3,19.8,20대,정상체중,83,걷기,달리기,전신 루틴 스트레칭,없음," 달리기,  사다리 옆으로 발 옮기기,  걷기,  무릎 높여 제자리 달리기"," 사다리 옆으로 발 옮기기,  엎드려 버티기,  무릎 높여 제자리 달리기,  수영"
18,19,하,M,169.9,70.2,24.3,10대,비만전단계,50,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 수영,  앉았다 일어서기,  계단 올라갔다 내려오기,  엎드려 버티기"," 앉았다 일어서기,  수영,  계단 뛰기,  줄넘기"
19,26,하,M,168.2,61.34,21.7,20대,정상체중,80,걷기,달리기,전신 루틴 스트레칭,없음," 걷기,  엎드려 버티기,  스텝퍼 옆으로 뛰어넘기,  계단 뛰기"," 계단 올라갔다 내려오기,  무릎 높여 제자리 달리기,  스텝퍼 옆으로 뛰어넘기,  엎드려 버티기"
20,26,하,M,170.6,66.28,22.8,20대,정상체중,80,걷기,달리기,전신 루틴 스트레칭,없음," 엎드려 버티기,  스텝퍼 옆으로 뛰어넘기,  무릎 높여 제자리 달리기,  계단 뛰기"," 걷기,  계단 올라갔다 내려오기,  스텝퍼 옆으로 뛰어넘기,  엎드려 버티기"
21,25,하,M,173.8,80.14,26.5,20대,1단계비만,92,걷기,달리기,전신 루틴 스트레칭,없음," 계단 뛰기,  무릎 높여 제자리 달리기,  스텝퍼 뛰어서 오르내리기,  계단 올라갔다 내려오기"," 걷기,  무릎 높여 제자리 달리기,  스텝퍼 뛰어서 오르내리기,  줄넘기"
22,75,하,F,158.0,61.82,24.8,70대 이상,비만전단계,269,전신 루틴 스트레칭, 엎드려 양팔 및 다리 들어올리기,전신 루틴 스트레칭,없음," 누워서 엉덩이 들어올리기,  자전거타기,  걷기,  엎드려 양팔 및 다리 들어올리기"," 물통으로 양팔 들어올리기,  밴드 머리 뒤로 들어올리기,  물병 들고 한발 앞으로 내밀고 앉았다 일어서기,  엎드려 버티기"
23,58,하,M,164.6,58.18,21.5,50대,정상체중,188,유산소 운동 전 동적 루틴 스트레칭, 걷기,전신 루틴 스트레칭,없음," 네발기기 자세로 팔 다리 들기,  자전거타기,  앉아서 다리 모으기,  뒤로 팔굽혀펴기"," 엎드려 버티기,  앉아서 다리 펴기,  앉아서 모으기, 달리기"
24,22,하,M,162.6,54.92,20.8,20대,정상체중,80,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 계단 올라갔다 내려오기,  계단 뛰기,  엎드려 버티기, 달리기"," 스텝퍼 옆으로 뛰어넘기, 달리기,  계단 뛰기,  엎드려 버티기"
25,36,하,F,162.6,54.84,20.7,30대,정상체중,119,유산소 운동 전 동적 루틴 스트레칭, 자전거타기,전신 루틴 스트레칭,없음," 걷기,  앉아서 다리 펴기, 달리기,  누워서 다리 들어올리기"," 걷기,  윗몸올리기 ,  서서 상체 일으키기,  네발기기 자세로 팔 다리 들기"
26,32,하,M,178.1,75.2,23.7,30대,비만전단계,122,걷기,달리기,전신 루틴 스트레칭,없음," 줄넘기,  무릎 높여 제자리 달리기,  계단 올라갔다 내려오기,  걷기"," 무릎 높여 제자리 달리기,  계단 올라갔다 내려오기,  걷기,  자전거타기"
27,33,하,M,173.3,77.9,25.9,30대,1단계비만,128,걷기,달리기,전신 루틴 스트레칭,없음," 달리기,  옆으로 펀치하기,  걷기,  줄넘기"," 걷기,  뛰어 내렸다가 바로 점프하기,  달리기,  옆으로 펀치하기"
28,43,하,F,156.9,52.5,21.3,40대,정상체중,155,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 사다리 옆으로 발 옮기기, 달리기,  줄넘기,  버피운동"," 계단 뛰기,  사다리 옆으로 발 옮기기,  줄넘기, 달리기"
29,56,하,M,164.3,67.9,25.2,50대,1단계비만,200,유산소 운동 전 동적 루틴 스트레칭, 걷기,전신 루틴 스트레칭,없음," 계단 뛰기,  앉아서 다리 펴기,  네발기기 자세로 팔 다리 들기,  걷기"," 앉아서 다리 모으기,  줄넘기,  걷기,  앉아서 다리 밀기"
30,54,하,F,153.5,54.9,23.3,50대,비만전단계,197,걷기,달리기,전신 루틴 스트레칭,없음," 걷기,  달리기,  사다리 옆으로 발 옮기기,  계단 뛰기"," 계단 뛰기,  무릎 높여 제자리 달리기,  걷기,  줄넘기"
31,34,중,F,163.7,57.3,21.4,30대,정상체중,118,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 수영,  뛰어 내렸다가 바로 점프하기,  줄넘기,  달리기"," 뛰어 내렸다가 바로 점프하기,  걷기,  줄넘기,  수영"
32,19,하,M,176.0,60.2,19.4,10대,정상체중,44,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 앉았다 일어서면서 점프하기,  줄넘기,  걷기,  계단 뛰기","달리기,  계단 올라갔다 내려오기,  줄넘기,  앉았다 일어서면서 점프하기"
33,20,하,M,171.0,83.7,28.6,20대,1단계비만,92,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 스텝퍼 뛰어서 오르내리기,  계단 뛰기, 달리기,  계단 올라갔다 내려오기"," 스텝퍼 뛰어서 오르내리기,  걷기,  계단 올라갔다 내려오기,  줄넘기"
34,19,하,M,182.0,112.5,34.0,10대,2단계비만,62,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 엎드려 버티기,  수영, 달리기,  스텝퍼 뛰어서 오르내리기"," 줄넘기, 달리기,  엎드려 버티기,  수영"
35,19,하,M,177.5,72.7,23.1,10대,비만전단계,50,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음,"달리기,  앉았다 일어서기,  엎드려 버티기,  계단 뛰기"," 줄넘기,  엎드려 버티기,  계단 올라갔다 내려오기,  수영"
36,19,하,M,175.2,84.6,27.6,10대,1단계비만,56,유산소 운동 전 동적 루틴 스트레칭,윗몸올리기 ,전신 루틴 스트레칭,없음," 계단 올라갔다 내려오기,  엎드려서 팔 다리 들기,  누워서 엉덩이 들어올리기, 달리기"," 앉아서 다리 밀기,  계단 올라갔다 내려오기,  엎드려서 팔 다리 들기,  엎드려 버티기"
37,13,하,M,154.2,55.9,23.5,10대,비만전단계,50,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 수영,  엎드려 버티기,  줄넘기,  계단 뛰기"," 계단 뛰기,  줄넘기, 달리기,  계단 올라갔다 내려오기"
38,73,하,F,149.6,61.6,27.5,70대 이상,1단계비만,275,전신 루틴 스트레칭, 걷기,전신 루틴 스트레칭,없음," 몸통 들어올리기,  엎드려 뒤로 다리 올리기,  앉았다 일어서기,  의자에 앉아 등 굽혔다 펴기"," 엎드려 양팔 및 다리 들어올리기,  물속에서 걷기,  몸통 들어올리기,  스텝박스"
39,59,하,F,155.3,54.9,22.8,50대,정상체중,191,유산소 운동 전 동적 루틴 스트레칭, 엎드려 버티기,전신 루틴 스트레칭,없음," 옆으로 누워 버티기,  누워서 다리 들어올리기,  뒤로 팔굽혀펴기,  누워서 밀기"," 팔굽혀펴기,  누워서 다리 들어올리기, 달리기,  누워서 엉덩이 들어올리기"
40,70,하,F,141.4,57.0,28.5,70대 이상,1단계비만,275,전신 루틴 스트레칭, 엎드려 양팔 및 다리 들어올리기,전신 루틴 스트레칭,없음," 앉았다 일어서기,  윗몸올리기 ,  걷기,  몸통 들어올리기"," 수영,  물병 들고 한발 앞으로 내밀고 앉았다 일어서기,  물통으로 양팔 들어올리기,  엎드려 뒤로 다리 올리기"
41,20,하,M,185.3,73.58,21.4,20대,정상체중,80,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 걷기, 달리기,  계단 올라갔다 내려오기,  엎드려 버티기"," 계단 올라갔다 내려오기, 달리기,  엎드려 버티기,  걷기"
42,23,하,M,182.5,69.4,20.8,20대,정상체중,80,걷기,달리기,전신 루틴 스트레칭,없음," 스텝퍼 옆으로 뛰어넘기,  엎드려 버티기,  무릎 높여 제자리 달리기,  걷기"," 계단 올라갔다 내려오기,  계단 뛰기,  스텝퍼 옆으로 뛰어넘기,  걷기"
43,33,하,F,163.0,53.3,20.1,30대,정상체중,119,유산소 운동 전 동적 루틴 스트레칭, 누워서 엉덩이 들어올리기,전신 루틴 스트레칭,없음," 뒤꿈치 들기, 윗몸올리기 ,  앉아서 다리 밀기,  앉았다 일어서기"," 앉아서 다리 모으기, 윗몸올리기 ,  누워서 다리 들어올리기,  엎드려서 팔 다리 들기"
44,35,하,M,171.2,78.4,26.7,30대,1단계비만,128,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음,"달리기,  걷기,  옆으로 펀치하기,  뛰어 내렸다가 바로 점프하기"," 옆으로 펀치하기,  달리기, 달리기,  계단 뛰기"
45,15,하,M,166.8,60.0,21.6,10대,정상체중,44,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 걷기,  계단 뛰기,  앉았다 일어서면서 점프하기, 달리기"," 계단 뛰기,  줄넘기,  계단 올라갔다 내려오기,  앉았다 일어서면서 점프하기"
46,15,하,M,160.8,56.0,21.7,10대,정상체중,44,걷기,달리기,전신 루틴 스트레칭,없음," 무릎 높여 제자리 달리기,  계단 뛰기,  앉았다 일어서면서 점프하기,  계단 올라갔다 내려오기"," 무릎 높여 제자리 달리기,  계단 올라갔다 내려오기,  계단 뛰기,  앉았다 일어서면서 점프하기"
47,15,하,M,169.3,65.8,23.0,10대,비만전단계,50,걷기,달리기,전신 루틴 스트레칭,없음," 앉았다 일어서기,  줄넘기,  수영,  계단 올라갔다 내려오기"," 줄넘기,  앉았다 일어서기,  엎드려 버티기,  무릎 높여 제자리 달리기"
48,15,상,M,170.5,56.5,19.4,10대,정상체중,42, 팔 벌려 뛰기, 다리 뻗어 점프하기, 정적 스트레칭  루틴프로그램," 동적 스트레칭 루틴프로그램, 달리기, 요가 및 필라테스  루틴프로그램"," 자전거타기,  앉았다 일어서기,  달리기,  동적 스트레칭 루틴프로그램"," 달리기,  뒤꿈치 높이들어 뛰기,  줄넘기,  정적 스트레칭  루틴프로그램"
49,15,하,M,166.9,55.9,20.1,10대,정상체중,44,걷기,달리기,전신 루틴 스트레칭,없음," 계단 올라갔다 내려오기,  줄넘기,  앉았다 일어서면서 점프하기,  걷기"," 계단 뛰기,  앉았다 일어서면서 점프하기,  줄넘기,  걷기"
50,15,하,M,159.6,48.8,19.2,10대,정상체중,44,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 줄넘기,  걷기, 달리기,  앉았다 일어서면서 점프하기"," 걷기,  앉았다 일어서면서 점프하기, 달리기,  계단 뛰기"
51,15,하,F,165.2,52.3,19.2,10대,정상체중,47,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 수영, 달리기,  계단 뛰기,  계단 올라갔다 내려오기"," 계단 올라갔다 내려오기,  앉았다 일어서면서 점프하기,  버피운동,  계단 뛰기"
52,15,하,F,159.0,44.6,17.6,10대,저체중,41, 온 몸 뻗어주기, 걷기, 아기자세,"목 스트레칭,  정적 스트레칭  루틴프로그램,  깍지끼고 목 들어올리기, 팔꿈치 원 그리기"," 엎드려 팔다리 교차올리기,  버피운동,  줄넘기,  다리자세"," 회전 초승달 자세,  발 바꿔 뛰기,  전완대고 버티기,  자전거타기"
53,13,하,F,163.2,64.8,24.3,10대,비만전단계,53,유산소 운동 전 동적 루틴 스트레칭, 앉아서 당겨 내리기,전신 루틴 스트레칭,없음," 몸통 들어올리기,  달리기,  앉아서 밀기, 달리기"," 앉아서 밀기,  앉아서 모으기,  앉아서 다리 밀기,  걷기"
54,15,하,M,175.7,67.2,21.8,10대,정상체중,44,걷기,달리기,전신 루틴 스트레칭,없음," 앉았다 일어서면서 점프하기,  계단 올라갔다 내려오기,  걷기,  줄넘기"," 무릎 높여 제자리 달리기,  계단 뛰기,  줄넘기,  걷기"
55,53,중,F,146.8,45.6,21.2,50대,정상체중,190,걷기,달리기,전신 루틴 스트레칭,없음," 무릎 높여 제자리 달리기,  수영,  걷기,  버피운동"," 줄넘기,  무릎 높여 제자리 달리기,  엎드려 버티기,  버피운동"
56,13,하,M,171.1,61.9,21.1,10대,정상체중,44,걷기,달리기,전신 루틴 스트레칭,없음," 앉았다 일어서면서 점프하기,  무릎 높여 제자리 달리기,  걷기,  계단 뛰기"," 줄넘기,  걷기,  계단 뛰기,  앉았다 일어서면서 점프하기"
57,18,하,M,184.0,65.0,19.2,10대,정상체중,44,걷기,달리기,전신 루틴 스트레칭,없음," 걷기,  줄넘기,  계단 올라갔다 내려오기,  앉았다 일어서면서 점프하기"," 무릎 높여 제자리 달리기,  줄넘기,  계단 올라갔다 내려오기,  앉았다 일어서면서 점프하기"
58,77,하,M,170.9,79.2,27.1,70대 이상,1단계비만,272,전신 루틴 스트레칭, 몸통 들어올리기,전신 루틴 스트레칭,없음," 엎드려 버티기,  달리기,  스텝박스,  윗몸올리기 "," 자전거타기,  달리기,  엎드려 버티기,  수영"
59,19,하,M,182.0,76.1,23.0,10대,비만전단계,50,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 엎드려 버티기,  계단 올라갔다 내려오기,  계단 뛰기,  줄넘기"," 엎드려 버티기,  수영, 달리기,  계단 뛰기"
60,19,하,M,184.0,81.0,23.9,10대,비만전단계,50,걷기,달리기,전신 루틴 스트레칭,없음," 줄넘기,  엎드려 버티기,  앉았다 일어서기,  계단 뛰기"," 줄넘기,  수영,  계단 올라갔다 내려오기,  엎드려 버티기"
61,36,하,F,166.7,66.0,23.8,30대,비만전단계,125,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 사다리 안팎 뛰기,  줄넘기,  앉았다 일어서기,  걷기","달리기,  줄넘기,  앉았다 일어서기,  걷기"
62,19,하,F,146.3,50.82,23.7,10대,비만전단계,53,유산소 운동 전 동적 루틴 스트레칭, 엎드려 버티기,전신 루틴 스트레칭,없음," 앉아서 모으기,  한발 앞으로 내밀고 앉았다 일어서기,  서서 상체 일으키기,  네발기기 자세로 팔 다리 들기"," 달리기,  누워서 엉덩이 들어올리기,  네발기기 자세로 팔 다리 들기,  걷기"
63,35,상,M,189.0,83.12,23.3,30대,비만전단계,120,유산소 운동 전 동적 루틴 스트레칭, 앉아서 밀기,전신 루틴 스트레칭,없음," 버피운동,  몸통 들어올리기,  엎드려 버티기,  몸통 옆으로 굽히기"," 옆으로 누워 버티기,  누워서 엉덩이 들어올리기,  달리기, 달리기"
64,19,하,M,177.0,85.3,27.2,10대,1단계비만,56,유산소 운동 전 동적 루틴 스트레칭, 엎드려 버티기,전신 루틴 스트레칭,없음,"앉았다 일어서기,  누워서 엉덩이 들어올리기,  서서 상체 일으키기,  앉아서 당겨 내리기"," 엎드려 버티기, 달리기,  앉아서 다리 밀기,  앉아서 다리 펴기"
65,68,하,F,153.5,55.2,23.4,60대,비만전단계,233,걷기, 엉덩이 스트레칭,자전거타기,없음,"엉덩이 스트레칭,  등/어깨 뒤쪽 스트레칭,  목 스트레칭,  골반 스트레칭"," 등/어깨 뒤쪽 스트레칭, 엉덩이 스트레칭,  골반 스트레칭,  목 스트레칭"
66,25,하,M,170.6,88.48,30.4,20대,2단계비만,98,걷기,달리기,전신 루틴 스트레칭,없음," 옆으로 펀치하기,  무릎 높여 제자리 달리기,  계단 뛰기,  걷기"," 옆으로 펀치하기,  무릎 높여 제자리 달리기,  계단 뛰기,  계단 올라갔다 내려오기"
67,72,중,F,149.4,45.2,20.3,70대 이상,정상체중,262,전신 루틴 스트레칭, 의자에 앉아 등 굽혔다 펴기,전신 루틴 스트레칭,없음," 자전거타기,  의자 앞에서 앉았다 일어서기,  누워서 엉덩이 들어올리기,  물병 들고 한발 앞으로 내밀고 앉았다 일어서기"," 물속에서 걷기,  서서 뒤꿈치 들기,  밴드 걸고 누워서 다리 들어올리기,  누워서 엉덩이 들어올리기"
68,30,중,F,161.0,53.0,20.4,30대,정상체중,118,걷기,달리기,전신 루틴 스트레칭,없음," 수영,  스텝퍼 오르내리기,  달리기,  무릎 높여 제자리 달리기"," 달리기,  걷기,  스텝퍼 오르내리기,  뛰어 내렸다가 바로 점프하기"
69,47,상,F,169.0,63.8,22.3,40대,정상체중,153,전신 루틴 스트레칭,저항밴드 운동  루틴프로그램,하지 루틴 스트레칭, 유산소 운동 전 동적 루틴 스트레칭," 걷기,  엎드려 버티기,  달리기,  자전거타기"," 엎드려 버티기,  앉았다 일어서기,  유산소 운동 전 동적 루틴 스트레칭,  걷기"
70,49,하,F,161.4,66.4,25.5,40대,1단계비만,167,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음,"달리기,  자전거타기,  걷기,  계단 뛰기"," 엎드려 버티기, 달리기,  걷기,  계단 뛰기"
71,34,하,M,176.7,75.04,24.0,30대,비만전단계,122,걷기,달리기,전신 루틴 스트레칭,없음," 걷기,  자전거타기,  줄넘기,  계단 올라갔다 내려오기"," 줄넘기,  걷기,  계단 뛰기,  무릎 높여 제자리 달리기"
72,20,하,M,166.1,55.42,20.1,20대,정상체중,80,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 계단 올라갔다 내려오기, 달리기,  스텝퍼 옆으로 뛰어넘기,  엎드려 버티기"," 엎드려 버티기,  계단 뛰기,  계단 올라갔다 내려오기,  스텝퍼 옆으로 뛰어넘기"
73,46,하,M,172.8,77.5,26.0,40대,1단계비만,164,걷기,달리기,전신 루틴 스트레칭,없음," 수영,  사다리 안팎 뛰기,  스텝퍼 옆으로 뛰어넘기,  걷기"," 걷기,  줄넘기,  계단 뛰기,  스텝퍼 옆으로 뛰어넘기"
74,47,중,M,167.6,68.1,24.2,40대,비만전단계,157,유산소 운동 전 동적 루틴 스트레칭, 자전거타기,전신 루틴 스트레칭,없음," 앉아서 당겨 내리기,  서서 상체 일으키기,  앉아서 다리 펴기,  앉아서 다리 밀기"," 윗몸올리기 ,  서서 상체 일으키기,  엎드려서 팔 다리 들기,  달리기"
75,33,하,M,175.4,73.28,23.8,30대,비만전단계,122,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 계단 뛰기, 달리기,  계단 올라갔다 내려오기,  자전거타기"," 줄넘기, 달리기,  걷기,  계단 뛰기"
76,23,하,M,174.1,72.4,23.9,20대,비만전단계,86,걷기,달리기,전신 루틴 스트레칭,없음," 걷기,  계단 뛰기,  무릎 높여 제자리 달리기,  계단 올라갔다 내려오기"," 계단 뛰기,  버피운동,  계단 올라갔다 내려오기,  무릎 높여 제자리 달리기"
77,29,하,M,172.7,78.3,26.3,20대,1단계비만,92,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 계단 올라갔다 내려오기,  줄넘기, 달리기,  스텝퍼 뛰어서 오르내리기","달리기,  계단 뛰기,  걷기,  줄넘기"
78,51,하,M,172.9,78.1,26.1,50대,1단계비만,200,유산소 운동 전 동적 루틴 스트레칭, 엎드려 버티기,전신 루틴 스트레칭,없음,"윗몸올리기 ,  네발기기 자세로 팔 다리 들기, 달리기, 앉았다 일어서기"," 뒤꿈치 들기,  앉아서 다리 펴기,  서서 상체 일으키기, 윗몸올리기 "
79,63,하,F,157.0,70.8,28.7,60대,1단계비만,239,걷기, 엉덩이 스트레칭,자전거타기,없음," 등/어깨 뒤쪽 스트레칭,  대퇴사두근 스트레칭, 엉덩이 스트레칭,  자전거타기"," 자전거타기, 엉덩이 스트레칭,  등/어깨 뒤쪽 스트레칭,  대퇴사두근 스트레칭"
80,23,하,F,162.3,54.74,20.8,20대,정상체중,83,걷기,달리기,전신 루틴 스트레칭,없음," 수영,  엎드려 버티기,  무릎 높여 제자리 달리기,  걷기"," 무릎 높여 제자리 달리기,  사다리 옆으로 발 옮기기,  달리기,  계단 뛰기"
81,24,하,M,169.8,65.4,22.7,20대,정상체중,80,걷기,달리기,전신 루틴 스트레칭,없음," 걷기,  스텝퍼 옆으로 뛰어넘기,  엎드려 버티기,  계단 올라갔다 내려오기"," 계단 뛰기,  걷기,  엎드려 버티기,  스텝퍼 옆으로 뛰어넘기"
82,58,하,M,170.0,79.56,27.5,50대,1단계비만,200,유산소 운동 전 동적 루틴 스트레칭, 누워서 엉덩이 들어올리기,전신 루틴 스트레칭,없음,"달리기,  앉아서 당겨 내리기,  계단 뛰기,  윗몸올리기 ","윗몸올리기 ,  앉아서 다리 모으기,  뒤로 팔굽혀펴기,  자전거타기"
83,40,하,M,161.3,66.84,25.7,40대,1단계비만,164,걷기, 무릎 높여 제자리 달리기,전신 루틴 스트레칭,없음," 줄넘기, 달리기,  걷기,  수영","달리기,  줄넘기,  스텝퍼 옆으로 뛰어넘기,  계단 뛰기"
84,21,하,M,176.1,65.6,21.2,20대,정상체중,80,걷기,달리기,전신 루틴 스트레칭,없음," 스텝퍼 옆으로 뛰어넘기,  계단 올라갔다 내려오기,  엎드려 버티기,  무릎 높여 제자리 달리기"," 엎드려 버티기,  걷기,  계단 올라갔다 내려오기,  스텝퍼 옆으로 뛰어넘기"
85,29,하,M,173.4,64.82,21.6,20대,정상체중,80,걷기,달리기,전신 루틴 스트레칭,없음," 스텝퍼 옆으로 뛰어넘기,  무릎 높여 제자리 달리기,  계단 뛰기,  걷기"," 스텝퍼 옆으로 뛰어넘기,  무릎 높여 제자리 달리기,  계단 뛰기,  걷기"
86,29,하,M,175.1,86.16,28.1,20대,1단계비만,92,걷기,달리기,전신 루틴 스트레칭,없음," 계단 뛰기,  계단 올라갔다 내려오기,  스텝퍼 뛰어서 오르내리기,  걷기"," 계단 올라갔다 내려오기,  계단 뛰기,  줄넘기,  무릎 높여 제자리 달리기"
